Budget;LongueurMin;ValeurMax;Moyenne
2820;141;0.477576;0.414508
2820;141;0.477576;0.416221
2820;141;0.477576;0.411137
2801;141;0.479741;0.41377
2801;141;0.479741;0.409022
2801;141;0.479741;0.408016
2801;141;0.479741;0.41124
2801;141;0.479741;0.411827
2801;141;0.479741;0.412823
2650;134;0.490184;0.418091
2650;134;0.490184;0.419515
2650;134;0.490184;0.427299
2580;131;0.496028;0.430269
2574;131;0.496841;0.437027
2574;131;0.496841;0.438046
2574;131;0.496841;0.437315
2574;131;0.496841;0.43763
2574;131;0.496841;0.442885
2574;131;0.496841;0.445489
2653;155;0.513396;0.44868
2653;155;0.513396;0.448416
2653;155;0.513396;0.452445
2653;155;0.513396;0.459088
2653;155;0.513396;0.459573
2637;155;0.515454;0.462569
2637;155;0.515454;0.465092
2637;155;0.515454;0.465541
2637;155;0.515454;0.463724
2637;155;0.515454;0.464644
2469;155;0.538677;0.463604
2469;155;0.538677;0.466071
2469;155;0.538677;0.471595
2469;155;0.538677;0.4659
2469;155;0.538677;0.467965
2469;155;0.538677;0.46916
2469;155;0.538677;0.469957
2469;155;0.538677;0.475698
2469;155;0.538677;0.473563
2469;155;0.538677;0.478597
2469;155;0.538677;0.480095
2469;155;0.538677;0.480232
2348;139;0.539485;0.485419
2348;139;0.539485;0.485952
2348;139;0.539485;0.480784
2348;139;0.539485;0.482952
2348;139;0.539485;0.482859
2348;139;0.539485;0.481352
2348;139;0.539485;0.482545
2348;139;0.539485;0.484074
2348;139;0.539485;0.483467
2348;139;0.539485;0.48907
2348;139;0.539485;0.493692
2348;139;0.539485;0.497117
2285;139;0.550053;0.499592
2285;139;0.550053;0.502748
2285;139;0.550053;0.510011
2397;157;0.551874;0.506037
2225;139;0.560674;0.507534
2225;139;0.560674;0.507204
2166;139;0.571692;0.511817
2166;139;0.571692;0.513877
2166;139;0.571692;0.516202
2162;139;0.572461;0.519387
2152;139;0.574395;0.520656
2152;139;0.574395;0.518471
2148;139;0.575174;0.527098
2148;139;0.575174;0.528708
2148;139;0.575174;0.533329
2148;139;0.575174;0.538316
2148;139;0.575174;0.537554
2148;139;0.575174;0.543183
2148;139;0.575174;0.544888
2148;139;0.575174;0.550943
2148;139;0.575174;0.548136
2148;139;0.575174;0.549193
2148;139;0.575174;0.551346
2148;139;0.575174;0.555671
2146;139;0.575565;0.555787
2146;139;0.575565;0.555283
2146;139;0.575565;0.55511
2146;139;0.575565;0.561549
2146;139;0.575565;0.562383
2132;139;0.578319;0.56261
2132;139;0.578319;0.561349
2132;139;0.578319;0.5638
2132;139;0.578319;0.563279
2132;139;0.578319;0.566751
2132;139;0.578319;0.566908
2132;139;0.578319;0.565016
2087;139;0.587421;0.565505
2064;139;0.592226;0.566173
2064;139;0.592226;0.566058
2064;139;0.592226;0.566122
2064;139;0.592226;0.566988
2064;139;0.592226;0.56811
2064;139;0.592226;0.569948
2064;139;0.592226;0.57374
2064;139;0.592226;0.574225
2064;139;0.592226;0.576115
2064;139;0.592226;0.575105
